id,author,created_at,last_modified,downloads,likes,tags,description,url,languages,tasks,size_categories
papluca/language-identification,papluca,2022-03-02 23:29:22+00:00,2022-07-15 10:11:23+00:00,1441,57,"['task_categories:text-classification', 'task_ids:multi-class-classification', 'multilinguality:multilingual', 'source_datasets:extended|amazon_reviews_multi', 'source_datasets:extended|xnli', 'source_datasets:extended|stsb_multi_mt', 'language:ar', 'language:bg', 'language:de', 'language:el', 'language:en', 'language:es', 'language:fr', 'language:hi', 'language:it', 'language:ja', 'language:nl', 'language:pl', 'language:pt', 'language:ru', 'language:sw', 'language:th', 'language:tr', 'language:ur', 'language:vi', 'language:zh', 'size_categories:10K<n<100K', 'format:csv', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Dataset Card for Language Identification dataset
	


	
		
		Dataset Summary
	

The Language Identification dataset is a collection of 90k samples consisting of text passages and corresponding language label. 
This dataset was created by collecting data from 3 sources: Multilingual Amazon Reviews Corpus, XNLI, and STSb Multi MT.

	
		
	
	
		Supported Tasks and Leaderboards
	

The dataset can be used to train a model for language identification, which is a multi-class text classification… See the full description on the dataset page: https://huggingface.co/datasets/papluca/language-identification.",https://huggingface.co/datasets/papluca/language-identification,"['ar', 'bg', 'de', 'el', 'en', 'es', 'fr', 'hi', 'it', 'ja', 'nl', 'pl', 'pt', 'ru', 'sw', 'th', 'tr', 'ur', 'vi', 'zh']",['text-classification'],['10K<n<100K']
OpenAssistant/oasst1,OpenAssistant,2023-04-13 15:48:16+00:00,2023-05-02 13:21:21+00:00,7652,1437,"['language:en', 'language:es', 'language:ru', 'language:de', 'language:pl', 'language:th', 'language:vi', 'language:sv', 'language:bn', 'language:da', 'language:he', 'language:it', 'language:fa', 'language:sk', 'language:id', 'language:nb', 'language:el', 'language:nl', 'language:hu', 'language:eu', 'language:zh', 'language:eo', 'language:ja', 'language:ca', 'language:cs', 'language:bg', 'language:fi', 'language:pt', 'language:tr', 'language:ro', 'language:ar', 'language:uk', 'language:gl', 'language:fr', 'language:ko', 'license:apache-2.0', 'size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'arxiv:2304.07327', 'region:us', 'human-feedback']","
	
		
		OpenAssistant Conversations Dataset (OASST1)
	


	
		
		Dataset Summary
	

In an effort to democratize research on large-scale alignment, we release OpenAssistant 
Conversations (OASST1), a human-generated, human-annotated assistant-style conversation 
corpus consisting of 161,443 messages in 35 different languages, annotated with 461,292 
quality ratings, resulting in over 10,000 fully annotated conversation trees. The corpus 
is a product of a worldwide crowd-sourcing effort… See the full description on the dataset page: https://huggingface.co/datasets/OpenAssistant/oasst1.",https://huggingface.co/datasets/OpenAssistant/oasst1,"['en', 'es', 'ru', 'de', 'pl', 'th', 'vi', 'sv', 'bn', 'da', 'he', 'it', 'fa', 'sk', 'id', 'nb', 'el', 'nl', 'hu', 'eu', 'zh', 'eo', 'ja', 'ca', 'cs', 'bg', 'fi', 'pt', 'tr', 'ro', 'ar', 'uk', 'gl', 'fr', 'ko']",[],['10K<n<100K']
FredZhang7/toxi-text-3M,FredZhang7,2023-06-28 23:28:34+00:00,2025-04-27 19:07:53+00:00,991,28,"['task_categories:text-classification', 'task_categories:zero-shot-classification', 'language:ar', 'language:es', 'language:pa', 'language:th', 'language:et', 'language:fr', 'language:fi', 'language:hu', 'language:lt', 'language:ur', 'language:so', 'language:pl', 'language:el', 'language:mr', 'language:sk', 'language:gu', 'language:he', 'language:af', 'language:te', 'language:ro', 'language:lv', 'language:sv', 'language:ne', 'language:kn', 'language:it', 'language:mk', 'language:cs', 'language:en', 'language:de', 'language:da', 'language:ta', 'language:bn', 'language:pt', 'language:sq', 'language:tl', 'language:uk', 'language:bg', 'language:ca', 'language:sw', 'language:hi', 'language:zh', 'language:ja', 'language:hr', 'language:ru', 'language:vi', 'language:id', 'language:sl', 'language:cy', 'language:ko', 'language:nl', 'language:ml', 'language:tr', 'language:fa', 'language:no', 'language:multilingual', 'license:apache-2.0', 'size_categories:1M<n<10M', 'format:csv', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'nlp', 'moderation']","This is a large multilingual toxicity dataset with 3M rows of text data from 55 natural languages, all of which are written/sent by humans, not machine translation models.
The preprocessed training data alone consists of 2,880,667 rows of comments, tweets, and messages. Among these rows, 416,529 are classified as toxic, while the remaining 2,463,773 are considered neutral. Below is a table to illustrate the data composition:

	
		

Toxic
Neutral
Total


		
multilingual-train-deduplicated.csv… See the full description on the dataset page: https://huggingface.co/datasets/FredZhang7/toxi-text-3M.",https://huggingface.co/datasets/FredZhang7/toxi-text-3M,"['ar', 'es', 'pa', 'th', 'et', 'fr', 'fi', 'hu', 'lt', 'ur', 'so', 'pl', 'el', 'mr', 'sk', 'gu', 'he', 'af', 'te', 'ro', 'lv', 'sv', 'ne', 'kn', 'it', 'mk', 'cs', 'en', 'de', 'da', 'ta', 'bn', 'pt', 'sq', 'tl', 'uk', 'bg', 'ca', 'sw', 'hi', 'zh', 'ja', 'hr', 'ru', 'vi', 'id', 'sl', 'cy', 'ko', 'nl', 'ml', 'tr', 'fa', 'no', 'multilingual']","['text-classification', 'zero-shot-classification']",['1M<n<10M']
izumi-lab/mc4-ja-filter-ja-normal,izumi-lab,2023-07-16 13:46:25+00:00,2023-07-29 03:11:41+00:00,654,5,"['language:ja', 'license:odc-by', 'size_categories:10M<n<100M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Dataset Card for ""mc4-ja-filter-ja-normal""
	

More Information needed
",https://huggingface.co/datasets/izumi-lab/mc4-ja-filter-ja-normal,['ja'],[],['10M<n<100M']
facebook/belebele,facebook,2023-09-01 18:27:13+00:00,2024-08-12 22:18:08+00:00,17712,116,"['task_categories:question-answering', 'task_categories:zero-shot-classification', 'task_categories:text-classification', 'task_categories:multiple-choice', 'language:af', 'language:am', 'language:ar', 'language:az', 'language:as', 'language:bm', 'language:bn', 'language:bo', 'language:bg', 'language:ca', 'language:cs', 'language:ku', 'language:da', 'language:de', 'language:el', 'language:en', 'language:es', 'language:et', 'language:eu', 'language:fi', 'language:fr', 'language:ff', 'language:om', 'language:gu', 'language:gn', 'language:ht', 'language:ha', 'language:he', 'language:hi', 'language:hr', 'language:hu', 'language:hy', 'language:ig', 'language:id', 'language:it', 'language:is', 'language:jv', 'language:ja', 'language:ka', 'language:kn', 'language:kk', 'language:mn', 'language:km', 'language:rw', 'language:ky', 'language:ko', 'language:lo', 'language:ln', 'language:lt', 'language:lg', 'language:lv', 'language:ml', 'language:mr', 'language:mk', 'language:mt', 'language:mi', 'language:my', 'language:nl', 'language:no', 'language:ne', 'language:ny', 'language:or', 'language:pa', 'language:ps', 'language:fa', 'language:mg', 'language:pl', 'language:pt', 'language:ro', 'language:ru', 'language:sn', 'language:si', 'language:sl', 'language:sv', 'language:sk', 'language:sd', 'language:sw', 'language:ta', 'language:te', 'language:tg', 'language:tl', 'language:th', 'language:ti', 'language:tn', 'language:ts', 'language:tr', 'language:uk', 'language:ur', 'language:uz', 'language:vi', 'language:wo', 'language:xh', 'language:yo', 'language:zh', 'language:ms', 'language:zu', 'license:cc-by-sa-4.0', 'size_categories:100K<n<1M', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		The Belebele Benchmark for Massively Multilingual NLU Evaluation
	

Belebele is a multiple-choice machine reading comprehension (MRC) dataset spanning 122 language variants. This dataset enables the evaluation of mono- and multi-lingual models in high-, medium-, and low-resource languages. Each question has four multiple-choice answers and is linked to a short passage from the FLORES-200 dataset. The human annotation procedure was carefully curated to create questions that discriminate… See the full description on the dataset page: https://huggingface.co/datasets/facebook/belebele.",https://huggingface.co/datasets/facebook/belebele,"['af', 'am', 'ar', 'az', 'as', 'bm', 'bn', 'bo', 'bg', 'ca', 'cs', 'ku', 'da', 'de', 'el', 'en', 'es', 'et', 'eu', 'fi', 'fr', 'ff', 'om', 'gu', 'gn', 'ht', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'ig', 'id', 'it', 'is', 'jv', 'ja', 'ka', 'kn', 'kk', 'mn', 'km', 'rw', 'ky', 'ko', 'lo', 'ln', 'lt', 'lg', 'lv', 'ml', 'mr', 'mk', 'mt', 'mi', 'my', 'nl', 'no', 'ne', 'ny', 'or', 'pa', 'ps', 'fa', 'mg', 'pl', 'pt', 'ro', 'ru', 'sn', 'si', 'sl', 'sv', 'sk', 'sd', 'sw', 'ta', 'te', 'tg', 'tl', 'th', 'ti', 'tn', 'ts', 'tr', 'uk', 'ur', 'uz', 'vi', 'wo', 'xh', 'yo', 'zh', 'ms', 'zu']","['question-answering', 'zero-shot-classification', 'text-classification', 'multiple-choice']",['100K<n<1M']
toshi456/LLaVA-CC3M-Pretrain-595K-JA,toshi456,2023-12-03 07:26:55+00:00,2024-04-12 03:21:46+00:00,29,11,"['task_categories:visual-question-answering', 'language:ja', 'license:other', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Dataset Card for ""LLaVA-CC3M-Pretrain-595K-JA""
	


	
		
		Dataset Details
	

Dataset Type:
Japanese LLaVA CC3M Pretrain 595K is a localized version of the original LLaVA Visual Instruct CC3M 595K dataset. This version is translated into Japanese using cyberagent/calm2-7b-chat and is aimed at serving similar purposes in the context of Japanese language.
Resources for More Information:
For information on the original dataset: liuhaotian/LLaVA-CC3M-Pretrain-595K
License:
Must comply with… See the full description on the dataset page: https://huggingface.co/datasets/toshi456/LLaVA-CC3M-Pretrain-595K-JA.",https://huggingface.co/datasets/toshi456/LLaVA-CC3M-Pretrain-595K-JA,['ja'],['visual-question-answering'],['100K<n<1M']
rayliuca/WikidataLabels,rayliuca,2024-01-01 00:23:08+00:00,2024-01-11 04:17:57+00:00,2995,3,"['task_categories:translation', 'language:en', 'language:fr', 'language:de', 'language:ja', 'language:zh', 'language:hi', 'language:ar', 'language:bn', 'language:ru', 'language:es', 'license:cc0-1.0', 'size_categories:100M<n<1B', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Wikidata Labels
	

Large parallel corpus for machine translation

Entity label data extracted from Wikidata (2022-01-03), filtered for item entities only  
Only download the languages you need with datasets>=2.14.0
Similar dataset: https://huggingface.co/datasets/wmt/wikititles (18 Wikipedia titles pairs instead of all Wikidata entities)


	
		
	
	
		Dataset Details
	


	
		
	
	
		Dataset Sources
	


Wikidata JSON dump (wikidata-20220103-all.json.gz)… See the full description on the dataset page: https://huggingface.co/datasets/rayliuca/WikidataLabels.",https://huggingface.co/datasets/rayliuca/WikidataLabels,"['en', 'fr', 'de', 'ja', 'zh', 'hi', 'ar', 'bn', 'ru', 'es']",['translation'],['100M<n<1B']
jpft/danbooru2023,jpft,2024-01-11 10:28:25+00:00,2024-01-11 10:28:25+00:00,490,4,"['task_categories:image-classification', 'task_categories:image-to-image', 'task_categories:text-to-image', 'language:en', 'language:ja', 'license:mit', 'size_categories:1M<n<10M', 'region:us']","


	
		
		Danbooru2023: A Large-Scale Crowdsourced and Tagged Anime Illustration Dataset
	



Danbooru2023 is a large-scale anime image dataset with over 5 million images contributed and annotated in detail by an enthusiast community. Image tags cover aspects like characters, scenes, copyrights, artists, etc with an average of 30 tags per image.
Danbooru is a veteran anime image board with high-quality images and extensive tag metadata. The dataset can be used to train image classification… See the full description on the dataset page: https://huggingface.co/datasets/jpft/danbooru2023.",https://huggingface.co/datasets/jpft/danbooru2023,"['en', 'ja']","['image-classification', 'image-to-image', 'text-to-image']",['1M<n<10M']
Shitao/MLDR,Shitao,2024-02-02 06:32:59+00:00,2024-02-06 08:44:31+00:00,1898,70,"['task_categories:text-retrieval', 'multilinguality:multilingual', 'language:ar', 'language:de', 'language:en', 'language:es', 'language:fr', 'language:hi', 'language:it', 'language:ja', 'language:ko', 'language:pt', 'language:ru', 'language:th', 'language:zh', 'license:mit', 'arxiv:2402.03216', 'region:us']","
	
		
		Dataset Summary
	

MLDR is a Multilingual Long-Document Retrieval dataset built on Wikipeida, Wudao and mC4, covering 13 typologically diverse languages. Specifically, we sample lengthy articles from Wikipedia, Wudao and mC4 datasets and randomly choose paragraphs from them. Then we use GPT-3.5 to generate questions based on these paragraphs. The generated question and the sampled article constitute a new text pair to the dataset. The prompt for GPT3.5 is “You are a curious AI… See the full description on the dataset page: https://huggingface.co/datasets/Shitao/MLDR.",https://huggingface.co/datasets/Shitao/MLDR,"['ar', 'de', 'en', 'es', 'fr', 'hi', 'it', 'ja', 'ko', 'pt', 'ru', 'th', 'zh']",['text-retrieval'],[]
SakanaAI/JA-VG-VQA-500,SakanaAI,2024-02-29 23:31:26+00:00,2024-05-14 04:11:31+00:00,325,16,"['task_categories:visual-question-answering', 'language:ja', 'license:cc-by-4.0', 'size_categories:1K<n<10K', 'format:parquet', 'modality:image', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'arxiv:2403.13187', 'region:us']","
	
		
		JA-VG-VQA-500
	


	
		
		Dataset Description
	

JA-VG-VQA-500 is a 500-sample subset of Japanese Visual Genome VQA dataset.
This dataset was used in the evaluation of EvoVLM-JP-v1-7B. 
Please refer to our report and blog for more details. 
We are grateful to the developers for making the dataset available under Creative Commons Attribution 4.0 License. 

Visual Genome
Japanese Visual Genome VQA dataset
	
		
		Usage
	

Use the code below to get started with the dataset.
from datasets… See the full description on the dataset page: https://huggingface.co/datasets/SakanaAI/JA-VG-VQA-500.",https://huggingface.co/datasets/SakanaAI/JA-VG-VQA-500,['ja'],['visual-question-answering'],['1K<n<10K']
U23-lab/wiki40b_qa_ja,U23-lab,2024-03-28 11:17:16+00:00,2024-03-28 11:45:07+00:00,21,2,"['task_categories:question-answering', 'language:ja', 'license:cc-by-sa-4.0', 'size_categories:1M<n<10M', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","wiki40b-ja から生成した質問応答データセット
",https://huggingface.co/datasets/U23-lab/wiki40b_qa_ja,['ja'],['question-answering'],['1M<n<10M']
Mitsua/wikidata-parallel-descriptions-en-ja,Mitsua,2024-05-13 12:02:42+00:00,2024-05-17 00:25:10+00:00,23,8,"['task_categories:translation', 'language:en', 'language:ja', 'license:cc0-1.0', 'size_categories:1M<n<10M', 'format:json', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Wikidata parallel descriptions en-ja
	


Parallel corpus for machine translation generated from wikidata dump (2024-05-06).
Currently we processed only English/Japanese pair.
The jsonl file is ready-to-train by Hugging Face transformers trainer for translation tasks.


	
		
		Dataset Details
	


https://www.wikidata.org/wiki/Wikidata:Database_download


	
		
		Dataset Creation
	


As Wikidata description field does not represent exact direct translation, filtering is required for… See the full description on the dataset page: https://huggingface.co/datasets/Mitsua/wikidata-parallel-descriptions-en-ja.",https://huggingface.co/datasets/Mitsua/wikidata-parallel-descriptions-en-ja,"['en', 'ja']",['translation'],['1M<n<10M']
shunk031/JDocQA,shunk031,2024-05-17 13:53:34+00:00,2024-05-21 16:00:57+00:00,143,9,"['task_categories:question-answering', 'task_ids:extractive-qa', 'task_ids:open-domain-qa', 'task_ids:closed-domain-qa', 'annotations_creators:crowdsourced', 'language_creators:found', 'multilinguality:monolingual', 'source_datasets:original', 'language:ja', 'license:cc-by-sa-4.0', 'size_categories:1K<n<10K', 'arxiv:2403.19454', 'region:us']","Japanese Document Question Answering (JDocQA), a large-scale document-based QA dataset, essentially requiring both visual and textual information to answer questions, which comprises 5,504 documents in PDF format and annotated 11,600 question-and-answer instances in Japanese.",https://huggingface.co/datasets/shunk031/JDocQA,['ja'],['question-answering'],['1K<n<10K']
deepghs/fgo_voices_jp,deepghs,2024-08-28 08:56:04+00:00,2024-08-28 09:14:22+00:00,76,12,"['task_categories:automatic-speech-recognition', 'task_categories:audio-classification', 'language:ja', 'license:other', 'size_categories:10K<n<100K', 'format:parquet', 'modality:tabular', 'modality:text', 'modality:audio', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'audio', 'text', 'voice', 'anime', 'fgo']","
	
		
		JP Voice-Text Dataset for FGO Waifus
	

This is the JP voice-text dataset for FGO playable characters. Very useful for fine-tuning or evaluating ASR/ASV models.
Only the voices with strictly one voice actor is maintained here to reduce the noise of this dataset.
30800 records, 66.4 hours in total. Average duration is approximately 7.76s.

	
		
id
char_id
voice_actor_name
voice_title
voice_text
time
sample_rate
file_size
filename
mimetype
file_url


		
char_1_SV1_0_对话12
1
高桥李依
对话 12… See the full description on the dataset page: https://huggingface.co/datasets/deepghs/fgo_voices_jp.",https://huggingface.co/datasets/deepghs/fgo_voices_jp,['ja'],"['automatic-speech-recognition', 'audio-classification']",['10K<n<100K']
